clf,dataset_name,dataset_type,auc,cosine_projection-fixed-max_n,max_n
RISF,agnews_1,nlp,0.522,2.0,2
RISF,agnews_1,nlp,0.5615,2.0,2
RISF,agnews_1,nlp,0.5766,2.0,2
RISF,agnews_1,nlp,0.5576,2.0,2
RISF,agnews_1,nlp,0.6013,2.0,2
RISF,agnews_1,nlp,0.5534,2.0,2
RISF,agnews_1,nlp,0.5459,2.0,2
RISF,agnews_1,nlp,0.5471,3.0,3
RISF,agnews_1,nlp,0.4988,3.0,3
RISF,agnews_1,nlp,0.4956,3.0,3
RISF,agnews_1,nlp,0.4574,3.0,3
RISF,agnews_1,nlp,0.4734,3.0,3
RISF,agnews_1,nlp,0.4881,3.0,3
RISF,agnews_1,nlp,0.443,3.0,3
RISF,agnews_1,nlp,0.5993,3.0,3
RISF,agnews_1,nlp,0.4906,3.0,3
RISF,agnews_1,nlp,0.4877,3.0,3
RISF,agnews_1,nlp,0.4635,5.0,5
RISF,agnews_1,nlp,0.5658,5.0,5
RISF,agnews_1,nlp,0.5274,5.0,5
RISF,agnews_1,nlp,0.4427,5.0,5
RISF,agnews_1,nlp,0.4967,5.0,5
RISF,agnews_1,nlp,0.535,5.0,5
RISF,agnews_1,nlp,0.4619,5.0,5
RISF,agnews_1,nlp,0.4149,5.0,5
RISF,agnews_1,nlp,0.5563,5.0,5
RISF,agnews_1,nlp,0.4755,5.0,5
RISF,agnews_1,nlp,0.3209,0.25,192
RISF,agnews_1,nlp,0.2922,0.25,192
RISF,agnews_1,nlp,0.3014,0.25,192
RISF,agnews_1,nlp,0.304,0.25,192
RISF,agnews_1,nlp,0.3447,0.25,192
RISF,agnews_1,nlp,0.2999,0.25,192
RISF,agnews_1,nlp,0.3881,0.25,192
RISF,agnews_1,nlp,0.3075,0.25,192
RISF,agnews_1,nlp,0.3448,0.25,192
RISF,agnews_1,nlp,0.2911,0.25,192
RISF,agnews_1,nlp,0.2805,0.5,384
RISF,agnews_1,nlp,0.2625,0.5,384
RISF,agnews_1,nlp,0.3426,0.5,384
RISF,agnews_1,nlp,0.3268,0.5,384
RISF,agnews_1,nlp,0.3293,0.5,384
RISF,agnews_1,nlp,0.3334,0.5,384
RISF,agnews_1,nlp,0.3168,0.5,384
RISF,agnews_1,nlp,0.2802,0.5,384
RISF,agnews_1,nlp,0.3184,0.5,384
RISF,agnews_1,nlp,0.2841,0.5,384
RISF,agnews_1,nlp,0.2762,0.75,576
RISF,agnews_1,nlp,0.2323,0.75,576
RISF,agnews_1,nlp,0.3023,0.75,576
RISF,agnews_1,nlp,0.3466,0.75,576
RISF,agnews_1,nlp,0.3391,0.75,576
RISF,agnews_1,nlp,0.275,0.75,576
RISF,agnews_1,nlp,0.3525,0.75,576
RISF,agnews_1,nlp,0.2764,0.75,576
RISF,agnews_1,nlp,0.2898,0.75,576
RISF,agnews_1,nlp,0.2941,0.75,576
RISF,agnews_1,nlp,0.2956,1.0,768
RISF,agnews_1,nlp,0.2432,1.0,768
RISF,agnews_1,nlp,0.304,1.0,768
RISF,agnews_1,nlp,0.3479,1.0,768
RISF,agnews_1,nlp,0.3169,1.0,768
RISF,agnews_1,nlp,0.2832,1.0,768
RISF,agnews_1,nlp,0.297,1.0,768
RISF,agnews_1,nlp,0.2772,1.0,768
RISF,agnews_1,nlp,0.2765,1.0,768
RISF,agnews_1,nlp,0.3271,1.0,768
