clf,dataset_name,dataset_type,auc,distances
RSIF,TwoLeadECG,timeseries,0.8089,cosi_DTWD
RSIF,TwoLeadECG,timeseries,0.7232,cosi_DTWD
RSIF,TwoLeadECG,timeseries,0.7194,cosi_DTWD
RSIF,TwoLeadECG,timeseries,0.6343,cosi_DTWD
RSIF,TwoLeadECG,timeseries,0.8368,cosi
RSIF,TwoLeadECG,timeseries,0.8133,cosi
RSIF,TwoLeadECG,timeseries,0.7352,cosi
RSIF,TwoLeadECG,timeseries,0.7943,cosi
RSIF,TwoLeadECG,timeseries,0.5816,cosi
RSIF,TwoLeadECG,timeseries,0.7816,cosi
RSIF,TwoLeadECG,timeseries,0.6584,cosi
RSIF,TwoLeadECG,timeseries,0.607,cosi
RSIF,TwoLeadECG,timeseries,0.6273,cosi
RSIF,TwoLeadECG,timeseries,0.6127,cosi
RSIF,TwoLeadECG,timeseries,0.8432,cheb_DTWD
RSIF,TwoLeadECG,timeseries,0.8978,cheb_DTWD
RSIF,TwoLeadECG,timeseries,0.6311,cheb_DTWD
RSIF,TwoLeadECG,timeseries,0.7917,cheb_DTWD
RSIF,TwoLeadECG,timeseries,0.626,cheb_DTWD
RSIF,TwoLeadECG,timeseries,0.7848,cheb_DTWD
RSIF,TwoLeadECG,timeseries,0.7879,cheb_DTWD
RSIF,TwoLeadECG,timeseries,0.7117,cheb_DTWD
RSIF,TwoLeadECG,timeseries,0.6952,cheb_DTWD
RSIF,TwoLeadECG,timeseries,0.6514,cheb_DTWD
RSIF,TwoLeadECG,timeseries,0.8102,cheb
RSIF,TwoLeadECG,timeseries,0.6635,cheb
RSIF,TwoLeadECG,timeseries,0.6229,cheb
RSIF,TwoLeadECG,timeseries,0.7937,cheb
RSIF,TwoLeadECG,timeseries,0.6121,cheb
RSIF,TwoLeadECG,timeseries,0.8152,cheb
RSIF,TwoLeadECG,timeseries,0.706,cheb
RSIF,TwoLeadECG,timeseries,0.5638,cheb
RSIF,TwoLeadECG,timeseries,0.5467,cheb
RSIF,TwoLeadECG,timeseries,0.5803,cheb
RSIF,TwoLeadECG,timeseries,0.8102,DTWD
RSIF,TwoLeadECG,timeseries,0.9041,DTWD
RSIF,TwoLeadECG,timeseries,0.6406,DTWD
RSIF,TwoLeadECG,timeseries,0.8495,DTWD
RSIF,TwoLeadECG,timeseries,0.654,DTWD
RSIF,TwoLeadECG,timeseries,0.8051,DTWD
RSIF,TwoLeadECG,timeseries,0.8495,DTWD
RSIF,TwoLeadECG,timeseries,0.7454,DTWD
RSIF,TwoLeadECG,timeseries,0.7086,DTWD
RSIF,TwoLeadECG,timeseries,0.654,DTWD
