clf,dataset_name,dataset_type,auc,distances
RISF,COX2,graph,0.6382,Port_Manh_Degr
RISF,COX2,graph,0.3964,Port_Manh_Degr
RISF,COX2,graph,0.5036,Port_Manh_Degr
RISF,COX2,graph,0.5364,Port_Manh_Degr
RISF,COX2,graph,0.5855,Port_Manh_Degr
RISF,COX2,graph,0.6927,Port_Manh_NetL
RISF,COX2,graph,0.46,Port_Manh_NetL
RISF,COX2,graph,0.5982,Port_Manh_NetL
RISF,COX2,graph,0.7036,Port_Manh_NetL
RISF,COX2,graph,0.6018,Port_Manh_NetL
RISF,COX2,graph,0.7618,Port_Manh_Eucl
RISF,COX2,graph,0.5164,Port_Manh_Eucl
RISF,COX2,graph,0.6691,Port_Manh_Eucl
RISF,COX2,graph,0.6636,Port_Manh_Eucl
RISF,COX2,graph,0.4036,Port_Manh_Eucl
RISF,COX2,graph,0.6964,Port_Manh
RISF,COX2,graph,0.4073,Port_Manh
RISF,COX2,graph,0.6691,Port_Manh
RISF,COX2,graph,0.6764,Port_Manh
RISF,COX2,graph,0.4818,Port_Manh
RISF,COX2,graph,0.48,Port_NetS_Degr
RISF,COX2,graph,0.3464,Port_NetS_Degr
RISF,COX2,graph,0.4073,Port_NetS_Degr
RISF,COX2,graph,0.6064,Port_NetS_Degr
RISF,COX2,graph,0.5209,Port_NetS_Degr
RISF,COX2,graph,0.62,Port_NetS_NetL
RISF,COX2,graph,0.4645,Port_NetS_NetL
RISF,COX2,graph,0.4982,Port_NetS_NetL
RISF,COX2,graph,0.5936,Port_NetS_NetL
RISF,COX2,graph,0.4445,Port_NetS_NetL
RISF,COX2,graph,0.4509,Port_NetS_Eucl
RISF,COX2,graph,0.4645,Port_NetS_Eucl
RISF,COX2,graph,0.5582,Port_NetS_Eucl
RISF,COX2,graph,0.5936,Port_NetS_Eucl
RISF,COX2,graph,0.3809,Port_NetS_Eucl
RISF,COX2,graph,0.4709,Port_NetS
RISF,COX2,graph,0.3864,Port_NetS
RISF,COX2,graph,0.4455,Port_NetS
RISF,COX2,graph,0.5118,Port_NetS
RISF,COX2,graph,0.3573,Port_NetS
RISF,COX2,graph,0.54,Port_Degr_NetL
RISF,COX2,graph,0.4427,Port_Degr_NetL
RISF,COX2,graph,0.4982,Port_Degr_NetL
RISF,COX2,graph,0.6536,Port_Degr_NetL
RISF,COX2,graph,0.5791,Port_Degr_NetL
RISF,COX2,graph,0.4636,Port_Degr_Eucl
RISF,COX2,graph,0.3482,Port_Degr_Eucl
RISF,COX2,graph,0.4909,Port_Degr_Eucl
RISF,COX2,graph,0.5755,Port_Degr_Eucl
RISF,COX2,graph,0.5373,Port_Degr_Eucl
RISF,COX2,graph,0.5073,Port_Degr
RISF,COX2,graph,0.4064,Port_Degr
RISF,COX2,graph,0.5164,Port_Degr
RISF,COX2,graph,0.5573,Port_Degr
RISF,COX2,graph,0.5373,Port_Degr
RISF,COX2,graph,0.5855,Port_NetL_Eucl
RISF,COX2,graph,0.57,Port_NetL_Eucl
RISF,COX2,graph,0.5655,Port_NetL_Eucl
RISF,COX2,graph,0.6427,Port_NetL_Eucl
RISF,COX2,graph,0.5027,Port_NetL_Eucl
RISF,COX2,graph,0.6255,Port_NetL
RISF,COX2,graph,0.4682,Port_NetL
RISF,COX2,graph,0.6091,Port_NetL
RISF,COX2,graph,0.6882,Port_NetL
RISF,COX2,graph,0.4845,Port_NetL
RISF,COX2,graph,0.4564,Port_Eucl
RISF,COX2,graph,0.4355,Port_Eucl
RISF,COX2,graph,0.5273,Port_Eucl
RISF,COX2,graph,0.5118,Port_Eucl
RISF,COX2,graph,0.4373,Port_Eucl
RISF,COX2,graph,0.5182,Port
RISF,COX2,graph,0.4245,Port
RISF,COX2,graph,0.5273,Port
RISF,COX2,graph,0.6536,Port
RISF,COX2,graph,0.3355,Port
RISF,COX2,graph,0.5818,Manh_NetS_Degr
RISF,COX2,graph,0.4036,Manh_NetS_Degr
RISF,COX2,graph,0.5073,Manh_NetS_Degr
RISF,COX2,graph,0.5636,Manh_NetS_Degr
RISF,COX2,graph,0.5491,Manh_NetS_Degr
RISF,COX2,graph,0.5345,Manh_NetS_NetL
RISF,COX2,graph,0.4927,Manh_NetS_NetL
RISF,COX2,graph,0.5273,Manh_NetS_NetL
RISF,COX2,graph,0.6236,Manh_NetS_NetL
RISF,COX2,graph,0.4527,Manh_NetS_NetL
RISF,COX2,graph,0.5491,Manh_NetS_Eucl
RISF,COX2,graph,0.4618,Manh_NetS_Eucl
RISF,COX2,graph,0.5073,Manh_NetS_Eucl
RISF,COX2,graph,0.5218,Manh_NetS_Eucl
RISF,COX2,graph,0.4273,Manh_NetS_Eucl
RISF,COX2,graph,0.6,Manh_NetS
RISF,COX2,graph,0.44,Manh_NetS
RISF,COX2,graph,0.5618,Manh_NetS
RISF,COX2,graph,0.5455,Manh_NetS
RISF,COX2,graph,0.4273,Manh_NetS
RISF,COX2,graph,0.5109,Manh_Degr_NetL
RISF,COX2,graph,0.3764,Manh_Degr_NetL
RISF,COX2,graph,0.5345,Manh_Degr_NetL
RISF,COX2,graph,0.6345,Manh_Degr_NetL
RISF,COX2,graph,0.5891,Manh_Degr_NetL
RISF,COX2,graph,0.62,Manh_Degr_Eucl
RISF,COX2,graph,0.3736,Manh_Degr_Eucl
RISF,COX2,graph,0.5682,Manh_Degr_Eucl
RISF,COX2,graph,0.5809,Manh_Degr_Eucl
RISF,COX2,graph,0.6,Manh_Degr_Eucl
RISF,COX2,graph,0.5982,Manh_Degr
RISF,COX2,graph,0.4355,Manh_Degr
RISF,COX2,graph,0.5355,Manh_Degr
RISF,COX2,graph,0.5791,Manh_Degr
RISF,COX2,graph,0.6418,Manh_Degr
RISF,COX2,graph,0.6909,Manh_NetL_Eucl
RISF,COX2,graph,0.5709,Manh_NetL_Eucl
RISF,COX2,graph,0.6291,Manh_NetL_Eucl
RISF,COX2,graph,0.7891,Manh_NetL_Eucl
RISF,COX2,graph,0.6364,Manh_NetL_Eucl
RISF,COX2,graph,0.6673,Manh_NetL
RISF,COX2,graph,0.5364,Manh_NetL
RISF,COX2,graph,0.62,Manh_NetL
RISF,COX2,graph,0.6727,Manh_NetL
RISF,COX2,graph,0.5927,Manh_NetL
RISF,COX2,graph,0.6818,Manh_Eucl
RISF,COX2,graph,0.4227,Manh_Eucl
RISF,COX2,graph,0.6036,Manh_Eucl
RISF,COX2,graph,0.6064,Manh_Eucl
RISF,COX2,graph,0.5527,Manh_Eucl
RISF,COX2,graph,0.7327,Manh
RISF,COX2,graph,0.3736,Manh
RISF,COX2,graph,0.5664,Manh
RISF,COX2,graph,0.6227,Manh
RISF,COX2,graph,0.6455,Manh
RISF,COX2,graph,0.5155,NetS_Degr_NetL
RISF,COX2,graph,0.4445,NetS_Degr_NetL
RISF,COX2,graph,0.3836,NetS_Degr_NetL
RISF,COX2,graph,0.5718,NetS_Degr_NetL
RISF,COX2,graph,0.5064,NetS_Degr_NetL
RISF,COX2,graph,0.3809,NetS_Degr_Eucl
RISF,COX2,graph,0.3845,NetS_Degr_Eucl
RISF,COX2,graph,0.3527,NetS_Degr_Eucl
RISF,COX2,graph,0.5664,NetS_Degr_Eucl
RISF,COX2,graph,0.5264,NetS_Degr_Eucl
RISF,COX2,graph,0.4473,NetS_Degr
RISF,COX2,graph,0.4191,NetS_Degr
RISF,COX2,graph,0.3564,NetS_Degr
RISF,COX2,graph,0.6355,NetS_Degr
RISF,COX2,graph,0.5609,NetS_Degr
RISF,COX2,graph,0.4918,NetS_NetL_Eucl
RISF,COX2,graph,0.5264,NetS_NetL_Eucl
RISF,COX2,graph,0.4345,NetS_NetL_Eucl
RISF,COX2,graph,0.5445,NetS_NetL_Eucl
RISF,COX2,graph,0.3409,NetS_NetL_Eucl
RISF,COX2,graph,0.5182,NetS_NetL
RISF,COX2,graph,0.4918,NetS_NetL
RISF,COX2,graph,0.5073,NetS_NetL
RISF,COX2,graph,0.5191,NetS_NetL
RISF,COX2,graph,0.4827,NetS_NetL
RISF,COX2,graph,0.3718,NetS_Eucl
RISF,COX2,graph,0.4064,NetS_Eucl
RISF,COX2,graph,0.3091,NetS_Eucl
RISF,COX2,graph,0.41,NetS_Eucl
RISF,COX2,graph,0.3355,NetS_Eucl
RISF,COX2,graph,0.4555,NetS
RISF,COX2,graph,0.4027,NetS
RISF,COX2,graph,0.4382,NetS
RISF,COX2,graph,0.5482,NetS
RISF,COX2,graph,0.2573,NetS
RISF,COX2,graph,0.5027,Degr_NetL_Eucl
RISF,COX2,graph,0.3218,Degr_NetL_Eucl
RISF,COX2,graph,0.4509,Degr_NetL_Eucl
RISF,COX2,graph,0.6227,Degr_NetL_Eucl
RISF,COX2,graph,0.59,Degr_NetL_Eucl
RISF,COX2,graph,0.4482,Degr_NetL
RISF,COX2,graph,0.4191,Degr_NetL
RISF,COX2,graph,0.4755,Degr_NetL
RISF,COX2,graph,0.6064,Degr_NetL
RISF,COX2,graph,0.6355,Degr_NetL
RISF,COX2,graph,0.49,Degr_Eucl
RISF,COX2,graph,0.3755,Degr_Eucl
RISF,COX2,graph,0.4618,Degr_Eucl
RISF,COX2,graph,0.6155,Degr_Eucl
RISF,COX2,graph,0.6382,Degr_Eucl
RISF,COX2,graph,0.48,Degr
RISF,COX2,graph,0.4282,Degr
RISF,COX2,graph,0.5327,Degr
RISF,COX2,graph,0.5773,Degr
RISF,COX2,graph,0.7,Degr
RISF,COX2,graph,0.6473,NetL_Eucl
RISF,COX2,graph,0.51,NetL_Eucl
RISF,COX2,graph,0.6836,NetL_Eucl
RISF,COX2,graph,0.6027,NetL_Eucl
RISF,COX2,graph,0.4445,NetL_Eucl
RISF,COX2,graph,0.58,NetL
RISF,COX2,graph,0.53,NetL
RISF,COX2,graph,0.5636,NetL
RISF,COX2,graph,0.6936,NetL
RISF,COX2,graph,0.4227,NetL
RISF,COX2,graph,0.5818,Eucl
RISF,COX2,graph,0.5418,Eucl
RISF,COX2,graph,0.5855,Eucl
RISF,COX2,graph,0.4636,Eucl
RISF,COX2,graph,0.3455,Eucl
RISF,BZR,graph,0.5771,Ipse_Port_Manh
RISF,BZR,graph,0.5521,Ipse_Port_Manh
RISF,BZR,graph,0.6354,Ipse_Port_Manh
RISF,BZR,graph,0.7938,Ipse_Port_Manh
RISF,BZR,graph,0.5333,Ipse_Port_Manh
RISF,BZR,graph,0.4938,Ipse_Port_NetS
RISF,BZR,graph,0.4708,Ipse_Port_NetS
RISF,BZR,graph,0.3896,Ipse_Port_NetS
RISF,BZR,graph,0.5292,Ipse_Port_NetS
RISF,BZR,graph,0.575,Ipse_Port_NetS
RISF,BZR,graph,0.7979,Ipse_Port_Degr
RISF,BZR,graph,0.6604,Ipse_Port_Degr
RISF,BZR,graph,0.725,Ipse_Port_Degr
RISF,BZR,graph,0.6833,Ipse_Port_Degr
RISF,BZR,graph,0.75,Ipse_Port_Degr
RISF,BZR,graph,0.4896,Ipse_Port_NetL
RISF,BZR,graph,0.4625,Ipse_Port_NetL
RISF,BZR,graph,0.6521,Ipse_Port_NetL
RISF,BZR,graph,0.8042,Ipse_Port_NetL
RISF,BZR,graph,0.5125,Ipse_Port_NetL
RISF,BZR,graph,0.5167,Ipse_Port_Eucl
