clf,dataset_name,dataset_type,auc,distances
RISF,IMDB-BINARY,graph,0.3717,Ips_Por_Jac_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.4533,Ips_Por_Jac_Deg_Net
RISF,IMDB-BINARY,graph,0.305,Ips_Por_Jac_Deg_Net
RISF,IMDB-BINARY,graph,0.3717,Ips_Por_Jac_Deg_Net
RISF,IMDB-BINARY,graph,0.5733,Ips_Por_Jac_Deg_euc
RISF,IMDB-BINARY,graph,0.3167,Ips_Por_Jac_Deg_euc
RISF,IMDB-BINARY,graph,0.3342,Ips_Por_Jac_Deg_euc
RISF,IMDB-BINARY,graph,0.4392,Ips_Por_Jac_Deg
RISF,IMDB-BINARY,graph,0.3233,Ips_Por_Jac_Deg
RISF,IMDB-BINARY,graph,0.3358,Ips_Por_Jac_Deg
RISF,IMDB-BINARY,graph,0.5058,Ips_Por_Jac_Net_euc
RISF,IMDB-BINARY,graph,0.3175,Ips_Por_Jac_Net_euc
RISF,IMDB-BINARY,graph,0.355,Ips_Por_Jac_Net_euc
RISF,IMDB-BINARY,graph,0.4925,Ips_Por_Jac_Net
RISF,IMDB-BINARY,graph,0.2917,Ips_Por_Jac_Net
RISF,IMDB-BINARY,graph,0.3542,Ips_Por_Jac_Net
RISF,IMDB-BINARY,graph,0.4175,Ips_Por_Jac_euc
RISF,IMDB-BINARY,graph,0.3583,Ips_Por_Jac_euc
RISF,IMDB-BINARY,graph,0.3342,Ips_Por_Jac_euc
RISF,IMDB-BINARY,graph,0.42,Ips_Por_Jac
RISF,IMDB-BINARY,graph,0.4,Ips_Por_Jac
RISF,IMDB-BINARY,graph,0.2992,Ips_Por_Jac
RISF,IMDB-BINARY,graph,0.4933,Ips_Por_Oni_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.3975,Ips_Por_Oni_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.3942,Ips_Por_Oni_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.5025,Ips_Por_Oni_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.3725,Ips_Por_Oni_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.4633,Ips_Por_Oni_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.4083,Ips_Por_Oni_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.3425,Ips_Por_Oni_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.4075,Ips_Por_Oni_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.57,Ips_Por_Oni_Net_Deg
RISF,IMDB-BINARY,graph,0.4,Ips_Por_Oni_Net_Deg
RISF,IMDB-BINARY,graph,0.42,Ips_Por_Oni_Net_Deg
RISF,IMDB-BINARY,graph,0.3467,Ips_Por_Oni_Net_Net_euc
RISF,IMDB-BINARY,graph,0.305,Ips_Por_Oni_Net_Net_euc
RISF,IMDB-BINARY,graph,0.4817,Ips_Por_Oni_Net_Net_euc
RISF,IMDB-BINARY,graph,0.3908,Ips_Por_Oni_Net_Net
RISF,IMDB-BINARY,graph,0.2967,Ips_Por_Oni_Net_Net
RISF,IMDB-BINARY,graph,0.395,Ips_Por_Oni_Net_Net
RISF,IMDB-BINARY,graph,0.4808,Ips_Por_Oni_Net_euc
