clf,dataset_name,dataset_type,auc,max_samples
RISF,ad_nominal,binary,0.703,512
RISF,ad_nominal,binary,0.7452,512
RISF,TwoLeadECG,timeseries,0.7848,64
RISF,TwoLeadECG,timeseries,0.8971,64
RISF,TwoLeadECG,timeseries,0.6133,64
RISF,TwoLeadECG,timeseries,0.7854,64
RISF,TwoLeadECG,timeseries,0.6229,64
RISF,TwoLeadECG,timeseries,0.8311,128
RISF,TwoLeadECG,timeseries,0.8343,128
RISF,TwoLeadECG,timeseries,0.6889,128
RISF,TwoLeadECG,timeseries,0.8076,128
RISF,TwoLeadECG,timeseries,0.6597,128
RISF,TwoLeadECG,timeseries,0.8686,256
RISF,TwoLeadECG,timeseries,0.8648,256
RISF,TwoLeadECG,timeseries,0.6559,256
RISF,TwoLeadECG,timeseries,0.7949,256
RISF,TwoLeadECG,timeseries,0.7238,256
RISF,TwoLeadECG,timeseries,0.8317,512
RISF,TwoLeadECG,timeseries,0.8914,512
RISF,TwoLeadECG,timeseries,0.6102,512
RISF,TwoLeadECG,timeseries,0.7556,512
RISF,TwoLeadECG,timeseries,0.6876,512
RISF,agnews_1,nlp,0.677,64
RISF,agnews_1,nlp,0.7475,64
RISF,agnews_1,nlp,0.6691,64
RISF,agnews_1,nlp,0.7114,64
RISF,agnews_1,nlp,0.7001,64
RISF,agnews_1,nlp,0.6599,128
RISF,agnews_1,nlp,0.6858,128
RISF,agnews_1,nlp,0.7002,128
RISF,agnews_1,nlp,0.6711,128
RISF,agnews_1,nlp,0.7264,128
RISF,agnews_1,nlp,0.6845,256
RISF,agnews_1,nlp,0.7044,256
RISF,agnews_1,nlp,0.7254,256
RISF,agnews_1,nlp,0.7522,256
RISF,agnews_1,nlp,0.7319,256
RISF,agnews_1,nlp,0.7123,512
RISF,agnews_1,nlp,0.7464,512
RISF,agnews_1,nlp,0.6998,512
RISF,agnews_1,nlp,0.7206,512
RISF,agnews_1,nlp,0.7374,512
IForest,21_Lymphography,numerical,1.0,64
IForest,21_Lymphography,numerical,1.0,64
IForest,21_Lymphography,numerical,1.0,64
IForest,21_Lymphography,numerical,1.0,64
IForest,21_Lymphography,numerical,1.0,64
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,512
IForest,21_Lymphography,numerical,1.0,512
IForest,21_Lymphography,numerical,1.0,512
IForest,21_Lymphography,numerical,1.0,512
IForest,21_Lymphography,numerical,1.0,512
IForest,36_speech,numerical,0.3803,64
IForest,36_speech,numerical,0.4804,64
IForest,36_speech,numerical,0.4826,64
IForest,36_speech,numerical,0.4123,64
IForest,36_speech,numerical,0.3051,64
IForest,36_speech,numerical,0.4432,128
IForest,36_speech,numerical,0.5227,128
IForest,36_speech,numerical,0.4168,128
IForest,36_speech,numerical,0.403,128
IForest,36_speech,numerical,0.3405,128
IForest,36_speech,numerical,0.4105,256
IForest,36_speech,numerical,0.5297,256
IForest,36_speech,numerical,0.3789,256
IForest,36_speech,numerical,0.4401,256
IForest,36_speech,numerical,0.3307,256
IForest,36_speech,numerical,0.4764,512
IForest,36_speech,numerical,0.5383,512
IForest,36_speech,numerical,0.3635,512
IForest,36_speech,numerical,0.4156,512
IForest,36_speech,numerical,0.3391,512
IForest,6_cardio,numerical,0.9418,64
IForest,6_cardio,numerical,0.9233,64
