clf,dataset_name,dataset_type,auc,max_samples
RSIF,26_optdigits,numerical,0.4894,512
RSIF,26_optdigits,numerical,0.4417,512
RSIF,26_optdigits,numerical,0.3718,512
RSIF,26_optdigits,numerical,0.4574,512
RSIF,26_optdigits,numerical,0.294,512
RSIF,26_optdigits,numerical,0.5,512
RSIF,COX2,graph,0.7,64
RSIF,COX2,graph,0.4109,64
RSIF,COX2,graph,0.6491,64
RSIF,COX2,graph,0.5236,64
RSIF,COX2,graph,0.3582,64
RSIF,COX2,graph,0.5291,64
RSIF,COX2,graph,0.4109,64
RSIF,COX2,graph,0.4873,64
RSIF,COX2,graph,0.5364,64
RSIF,COX2,graph,0.5582,64
RSIF,COX2,graph,0.6127,128
RSIF,COX2,graph,0.4436,128
RSIF,COX2,graph,0.6109,128
RSIF,COX2,graph,0.5709,128
RSIF,COX2,graph,0.3364,128
RSIF,COX2,graph,0.4182,128
RSIF,COX2,graph,0.5,128
RSIF,COX2,graph,0.3545,128
RSIF,COX2,graph,0.58,128
RSIF,COX2,graph,0.4582,128
RSIF,COX2,graph,0.7145,256
RSIF,COX2,graph,0.4455,256
RSIF,COX2,graph,0.6509,256
RSIF,COX2,graph,0.5655,256
RSIF,COX2,graph,0.3618,256
RSIF,COX2,graph,0.5127,256
RSIF,COX2,graph,0.5673,256
RSIF,COX2,graph,0.2764,256
RSIF,COX2,graph,0.5618,256
RSIF,COX2,graph,0.4509,256
RSIF,COX2,graph,0.6982,512
RSIF,COX2,graph,0.4945,512
RSIF,COX2,graph,0.5691,512
RSIF,COX2,graph,0.6291,512
RSIF,COX2,graph,0.2873,512
RSIF,COX2,graph,0.5018,512
RSIF,COX2,graph,0.4727,512
RSIF,COX2,graph,0.2691,512
RSIF,COX2,graph,0.5655,512
RSIF,COX2,graph,0.5127,512
RSIF,BZR,graph,0.3896,64
RSIF,BZR,graph,0.4,64
RSIF,BZR,graph,0.4104,64
RSIF,BZR,graph,0.7625,64
RSIF,BZR,graph,0.3562,64
RSIF,BZR,graph,0.5938,64
RSIF,BZR,graph,0.4688,64
RSIF,BZR,graph,0.4396,64
RSIF,BZR,graph,0.3875,64
RSIF,BZR,graph,0.3604,64
RSIF,BZR,graph,0.4729,128
RSIF,BZR,graph,0.2917,128
RSIF,BZR,graph,0.4271,128
RSIF,BZR,graph,0.6521,128
RSIF,BZR,graph,0.3896,128
RSIF,BZR,graph,0.5729,128
RSIF,BZR,graph,0.3604,128
RSIF,BZR,graph,0.5167,128
RSIF,BZR,graph,0.4125,128
RSIF,BZR,graph,0.3938,128
RSIF,BZR,graph,0.35,256
RSIF,BZR,graph,0.4646,256
RSIF,BZR,graph,0.5438,256
RSIF,BZR,graph,0.7438,256
RSIF,BZR,graph,0.3479,256
RSIF,BZR,graph,0.6479,256
RSIF,BZR,graph,0.55,256
RSIF,BZR,graph,0.6646,256
RSIF,BZR,graph,0.3188,256
RSIF,BZR,graph,0.4604,256
RSIF,BZR,graph,0.4604,512
RSIF,BZR,graph,0.3771,512
RSIF,BZR,graph,0.525,512
RSIF,BZR,graph,0.6812,512
RSIF,BZR,graph,0.4583,512
RSIF,BZR,graph,0.5562,512
RSIF,BZR,graph,0.5396,512
RSIF,BZR,graph,0.4771,512
RSIF,BZR,graph,0.4812,512
RSIF,BZR,graph,0.5271,512
RSIF,DHFR,graph,0.6465,64
RSIF,DHFR,graph,0.3392,64
RSIF,DHFR,graph,0.5293,64
RSIF,DHFR,graph,0.5447,64
RSIF,DHFR,graph,0.3135,64
RSIF,DHFR,graph,0.4758,64
RSIF,DHFR,graph,0.5164,64
RSIF,DHFR,graph,0.5015,64
RSIF,DHFR,graph,0.5231,64
RSIF,DHFR,graph,0.6968,64
RSIF,DHFR,graph,0.556,128
RSIF,DHFR,graph,0.3433,128
RSIF,DHFR,graph,0.5272,128
RSIF,DHFR,graph,0.5735,128
RSIF,DHFR,graph,0.3207,128
RSIF,DHFR,graph,0.5139,128
RSIF,DHFR,graph,0.4846,128
RSIF,DHFR,graph,0.4923,128
RSIF,DHFR,graph,0.4861,128
RSIF,DHFR,graph,0.6906,128
RSIF,DHFR,graph,0.554,256
RSIF,DHFR,graph,0.4101,256
RSIF,DHFR,graph,0.5899,256
RSIF,DHFR,graph,0.5077,256
RSIF,DHFR,graph,0.3535,256
RSIF,DHFR,graph,0.5714,256
RSIF,DHFR,graph,0.4959,256
RSIF,DHFR,graph,0.4687,256
RSIF,DHFR,graph,0.5026,256
RSIF,DHFR,graph,0.6639,256
RSIF,DHFR,graph,0.5313,512
RSIF,DHFR,graph,0.4265,512
RSIF,DHFR,graph,0.5632,512
RSIF,DHFR,graph,0.4892,512
RSIF,DHFR,graph,0.3032,512
RSIF,DHFR,graph,0.5046,512
RSIF,DHFR,graph,0.463,512
RSIF,DHFR,graph,0.4327,512
RSIF,DHFR,graph,0.5159,512
RSIF,DHFR,graph,0.6845,512
RSIF,ad_nominal,binary,0.7611,64
RSIF,ad_nominal,binary,0.7653,64
RSIF,ad_nominal,binary,0.7992,64
RSIF,ad_nominal,binary,0.755,64
RSIF,ad_nominal,binary,0.7375,64
RSIF,ad_nominal,binary,0.7666,64
RSIF,ad_nominal,binary,0.7404,64
RSIF,ad_nominal,binary,0.7973,64
RSIF,ad_nominal,binary,0.7547,64
RSIF,ad_nominal,binary,0.7247,64
RSIF,ad_nominal,binary,0.7738,128
RSIF,ad_nominal,binary,0.8056,128
RSIF,ad_nominal,binary,0.831,128
RSIF,ad_nominal,binary,0.7954,128
RSIF,ad_nominal,binary,0.7856,128
RSIF,ad_nominal,binary,0.7902,128
RSIF,ad_nominal,binary,0.8158,128
RSIF,ad_nominal,binary,0.8197,128
RSIF,ad_nominal,binary,0.7985,128
RSIF,ad_nominal,binary,0.761,128
RSIF,ad_nominal,binary,0.7975,256
RSIF,ad_nominal,binary,0.8294,256
RSIF,ad_nominal,binary,0.8532,256
RSIF,ad_nominal,binary,0.8052,256
RSIF,ad_nominal,binary,0.8064,256
RSIF,ad_nominal,binary,0.8,256
RSIF,ad_nominal,binary,0.8401,256
RSIF,ad_nominal,binary,0.8285,256
RSIF,ad_nominal,binary,0.8166,256
RSIF,ad_nominal,binary,0.7848,256
RSIF,ad_nominal,binary,0.8471,512
RSIF,ad_nominal,binary,0.8452,512
RSIF,ad_nominal,binary,0.842,512
RSIF,ad_nominal,binary,0.8232,512
RSIF,ad_nominal,binary,0.8078,512
RSIF,ad_nominal,binary,0.8441,512
RSIF,ad_nominal,binary,0.8449,512
RSIF,ad_nominal,binary,0.8481,512
RSIF,ad_nominal,binary,0.8554,512
RSIF,ad_nominal,binary,0.8056,512
RSIF,TwoLeadECG,timeseries,0.767,64
RSIF,TwoLeadECG,timeseries,0.9041,64
RSIF,TwoLeadECG,timeseries,0.5644,64
RSIF,TwoLeadECG,timeseries,0.786,64
RSIF,TwoLeadECG,timeseries,0.6806,64
RSIF,TwoLeadECG,timeseries,0.7905,64
RSIF,TwoLeadECG,timeseries,0.8248,64
RSIF,TwoLeadECG,timeseries,0.7346,64
RSIF,TwoLeadECG,timeseries,0.6603,64
RSIF,TwoLeadECG,timeseries,0.574,64
RSIF,TwoLeadECG,timeseries,0.7695,128
RSIF,TwoLeadECG,timeseries,0.9289,128
RSIF,TwoLeadECG,timeseries,0.5676,128
RSIF,TwoLeadECG,timeseries,0.7784,128
RSIF,TwoLeadECG,timeseries,0.6533,128
RSIF,TwoLeadECG,timeseries,0.7759,128
RSIF,TwoLeadECG,timeseries,0.8038,128
RSIF,TwoLeadECG,timeseries,0.7283,128
RSIF,TwoLeadECG,timeseries,0.7524,128
RSIF,TwoLeadECG,timeseries,0.6622,128
RSIF,TwoLeadECG,timeseries,0.7587,256
RSIF,TwoLeadECG,timeseries,0.8971,256
RSIF,TwoLeadECG,timeseries,0.5949,256
RSIF,TwoLeadECG,timeseries,0.861,256
RSIF,TwoLeadECG,timeseries,0.7244,256
RSIF,TwoLeadECG,timeseries,0.8,256
RSIF,TwoLeadECG,timeseries,0.819,256
RSIF,TwoLeadECG,timeseries,0.7746,256
RSIF,TwoLeadECG,timeseries,0.7898,256
RSIF,TwoLeadECG,timeseries,0.6959,256
RSIF,TwoLeadECG,timeseries,0.7467,512
RSIF,TwoLeadECG,timeseries,0.9003,512
RSIF,TwoLeadECG,timeseries,0.6819,512
RSIF,TwoLeadECG,timeseries,0.8152,512
RSIF,TwoLeadECG,timeseries,0.694,512
RSIF,TwoLeadECG,timeseries,0.7683,512
RSIF,TwoLeadECG,timeseries,0.8483,512
RSIF,TwoLeadECG,timeseries,0.7797,512
RSIF,TwoLeadECG,timeseries,0.8108,512
RSIF,TwoLeadECG,timeseries,0.6749,512
RSIF,agnews_1,nlp,0.5276,64
RSIF,agnews_1,nlp,0.5537,64
RSIF,agnews_1,nlp,0.5716,64
RSIF,agnews_1,nlp,0.5786,64
RSIF,agnews_1,nlp,0.5365,64
RSIF,agnews_1,nlp,0.5071,64
RSIF,agnews_1,nlp,0.5767,64
RSIF,agnews_1,nlp,0.5601,64
RSIF,agnews_1,nlp,0.581,64
RSIF,agnews_1,nlp,0.5778,64
RSIF,agnews_1,nlp,0.5112,128
RSIF,agnews_1,nlp,0.533,128
RSIF,agnews_1,nlp,0.5782,128
RSIF,agnews_1,nlp,0.6291,128
RSIF,agnews_1,nlp,0.6223,128
RSIF,agnews_1,nlp,0.5378,128
RSIF,agnews_1,nlp,0.608,128
RSIF,agnews_1,nlp,0.5683,128
RSIF,agnews_1,nlp,0.5969,128
RSIF,agnews_1,nlp,0.575,128
RSIF,agnews_1,nlp,0.5101,256
RSIF,agnews_1,nlp,0.5832,256
RSIF,agnews_1,nlp,0.5358,256
RSIF,agnews_1,nlp,0.626,256
RSIF,agnews_1,nlp,0.6149,256
RSIF,agnews_1,nlp,0.6016,256
RSIF,agnews_1,nlp,0.5535,256
RSIF,agnews_1,nlp,0.5825,256
RSIF,agnews_1,nlp,0.5754,256
RSIF,agnews_1,nlp,0.5847,256
RSIF,agnews_1,nlp,0.6031,512
RSIF,agnews_1,nlp,0.6258,512
RSIF,agnews_1,nlp,0.5851,512
RSIF,agnews_1,nlp,0.611,512
RSIF,agnews_1,nlp,0.6342,512
RSIF,agnews_1,nlp,0.5906,512
RSIF,agnews_1,nlp,0.6322,512
RSIF,agnews_1,nlp,0.5935,512
RSIF,agnews_1,nlp,0.624,512
RSIF,agnews_1,nlp,0.6089,512
IForest,21_Lymphography,numerical,1.0,64
IForest,21_Lymphography,numerical,1.0,64
IForest,21_Lymphography,numerical,1.0,64
IForest,21_Lymphography,numerical,1.0,64
IForest,21_Lymphography,numerical,1.0,64
IForest,21_Lymphography,numerical,1.0,64
IForest,21_Lymphography,numerical,1.0,64
IForest,21_Lymphography,numerical,1.0,64
IForest,21_Lymphography,numerical,0.9884,64
IForest,21_Lymphography,numerical,0.9884,64
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,512
IForest,21_Lymphography,numerical,1.0,512
IForest,21_Lymphography,numerical,1.0,512
IForest,21_Lymphography,numerical,1.0,512
IForest,21_Lymphography,numerical,1.0,512
IForest,21_Lymphography,numerical,1.0,512
IForest,21_Lymphography,numerical,1.0,512
IForest,21_Lymphography,numerical,1.0,512
IForest,21_Lymphography,numerical,1.0,512
IForest,21_Lymphography,numerical,1.0,512
IForest,36_speech,numerical,0.4603,64
IForest,36_speech,numerical,0.5696,64
IForest,36_speech,numerical,0.4518,64
IForest,36_speech,numerical,0.4074,64
IForest,36_speech,numerical,0.3443,64
IForest,36_speech,numerical,0.3256,64
IForest,36_speech,numerical,0.4983,64
IForest,36_speech,numerical,0.3279,64
IForest,36_speech,numerical,0.5421,64
IForest,36_speech,numerical,0.4822,64
IForest,36_speech,numerical,0.433,128
IForest,36_speech,numerical,0.5355,128
IForest,36_speech,numerical,0.4219,128
IForest,36_speech,numerical,0.3526,128
IForest,36_speech,numerical,0.3154,128
IForest,36_speech,numerical,0.3983,128
IForest,36_speech,numerical,0.4414,128
IForest,36_speech,numerical,0.3415,128
IForest,36_speech,numerical,0.4492,128
IForest,36_speech,numerical,0.436,128
IForest,36_speech,numerical,0.4107,256
IForest,36_speech,numerical,0.5321,256
IForest,36_speech,numerical,0.3821,256
IForest,36_speech,numerical,0.424,256
IForest,36_speech,numerical,0.3416,256
IForest,36_speech,numerical,0.3357,256
IForest,36_speech,numerical,0.4646,256
IForest,36_speech,numerical,0.3215,256
IForest,36_speech,numerical,0.5315,256
IForest,36_speech,numerical,0.4416,256
IForest,36_speech,numerical,0.4338,512
IForest,36_speech,numerical,0.5106,512
IForest,36_speech,numerical,0.4055,512
IForest,36_speech,numerical,0.3768,512
IForest,36_speech,numerical,0.3333,512
IForest,36_speech,numerical,0.3856,512
IForest,36_speech,numerical,0.4245,512
IForest,36_speech,numerical,0.2995,512
IForest,36_speech,numerical,0.5186,512
IForest,36_speech,numerical,0.4448,512
IForest,6_cardio,numerical,0.9242,64
IForest,6_cardio,numerical,0.9059,64
IForest,6_cardio,numerical,0.9038,64
IForest,6_cardio,numerical,0.9124,64
IForest,6_cardio,numerical,0.9347,64
IForest,6_cardio,numerical,0.9522,64
IForest,6_cardio,numerical,0.9055,64
IForest,6_cardio,numerical,0.9401,64
IForest,6_cardio,numerical,0.905,64
IForest,6_cardio,numerical,0.946,64
IForest,6_cardio,numerical,0.9234,128
IForest,6_cardio,numerical,0.9221,128
IForest,6_cardio,numerical,0.9251,128
IForest,6_cardio,numerical,0.9113,128
IForest,6_cardio,numerical,0.9337,128
IForest,6_cardio,numerical,0.9404,128
IForest,6_cardio,numerical,0.9071,128
IForest,6_cardio,numerical,0.933,128
IForest,6_cardio,numerical,0.9116,128
IForest,6_cardio,numerical,0.9453,128
IForest,6_cardio,numerical,0.9317,256
IForest,6_cardio,numerical,0.913,256
IForest,6_cardio,numerical,0.9095,256
IForest,6_cardio,numerical,0.9173,256
IForest,6_cardio,numerical,0.9209,256
IForest,6_cardio,numerical,0.942,256
IForest,6_cardio,numerical,0.9091,256
IForest,6_cardio,numerical,0.928,256
IForest,6_cardio,numerical,0.8867,256
IForest,6_cardio,numerical,0.9264,256
IForest,6_cardio,numerical,0.9327,512
IForest,6_cardio,numerical,0.9095,512
IForest,6_cardio,numerical,0.8795,512
IForest,6_cardio,numerical,0.926,512
IForest,6_cardio,numerical,0.932,512
IForest,6_cardio,numerical,0.9407,512
IForest,6_cardio,numerical,0.9098,512
IForest,6_cardio,numerical,0.9232,512
IForest,6_cardio,numerical,0.9003,512
IForest,6_cardio,numerical,0.9253,512
IForest,26_optdigits,numerical,0.5986,64
IForest,26_optdigits,numerical,0.6476,64
IForest,26_optdigits,numerical,0.7353,64
IForest,26_optdigits,numerical,0.68,64
IForest,26_optdigits,numerical,0.7432,64
IForest,26_optdigits,numerical,0.6865,64
IForest,26_optdigits,numerical,0.5969,64
IForest,26_optdigits,numerical,0.6698,64
IForest,26_optdigits,numerical,0.6941,64
IForest,26_optdigits,numerical,0.7186,64
IForest,26_optdigits,numerical,0.6618,128
IForest,26_optdigits,numerical,0.6779,128
IForest,26_optdigits,numerical,0.6817,128
IForest,26_optdigits,numerical,0.7979,128
IForest,26_optdigits,numerical,0.752,128
IForest,26_optdigits,numerical,0.6749,128
IForest,26_optdigits,numerical,0.6825,128
IForest,26_optdigits,numerical,0.6807,128
IForest,26_optdigits,numerical,0.734,128
IForest,26_optdigits,numerical,0.731,128
IForest,26_optdigits,numerical,0.7305,256
IForest,26_optdigits,numerical,0.6282,256
IForest,26_optdigits,numerical,0.7248,256
IForest,26_optdigits,numerical,0.7912,256
IForest,26_optdigits,numerical,0.7594,256
IForest,26_optdigits,numerical,0.7175,256
IForest,26_optdigits,numerical,0.7558,256
IForest,26_optdigits,numerical,0.77,256
IForest,26_optdigits,numerical,0.7648,256
IForest,26_optdigits,numerical,0.7885,256
IForest,26_optdigits,numerical,0.7347,512
IForest,26_optdigits,numerical,0.7037,512
IForest,26_optdigits,numerical,0.698,512
IForest,26_optdigits,numerical,0.7395,512
IForest,26_optdigits,numerical,0.7055,512
IForest,26_optdigits,numerical,0.6398,512
IForest,26_optdigits,numerical,0.6945,512
IForest,26_optdigits,numerical,0.715,512
IForest,26_optdigits,numerical,0.7253,512
IForest,26_optdigits,numerical,0.729,512
IForest,COX2,graph,0.6364,64
IForest,COX2,graph,0.4609,64
IForest,COX2,graph,0.6264,64
IForest,COX2,graph,0.4827,64
IForest,COX2,graph,0.6582,64
IForest,COX2,graph,0.6036,64
IForest,COX2,graph,0.73,64
IForest,COX2,graph,0.5055,64
IForest,COX2,graph,0.7,64
IForest,COX2,graph,0.6491,64
IForest,COX2,graph,0.6018,128
IForest,COX2,graph,0.4882,128
IForest,COX2,graph,0.6791,128
IForest,COX2,graph,0.5355,128
IForest,COX2,graph,0.6436,128
IForest,COX2,graph,0.6018,128
IForest,COX2,graph,0.7482,128
IForest,COX2,graph,0.5382,128
IForest,COX2,graph,0.7418,128
IForest,COX2,graph,0.6564,128
IForest,COX2,graph,0.6436,256
IForest,COX2,graph,0.5118,256
IForest,COX2,graph,0.7373,256
IForest,COX2,graph,0.5536,256
IForest,COX2,graph,0.6873,256
IForest,COX2,graph,0.5945,256
IForest,COX2,graph,0.7355,256
IForest,COX2,graph,0.5255,256
IForest,COX2,graph,0.7727,256
IForest,COX2,graph,0.6891,256
IForest,COX2,graph,0.6545,512
IForest,COX2,graph,0.5118,512
IForest,COX2,graph,0.7464,512
IForest,COX2,graph,0.5482,512
IForest,COX2,graph,0.7127,512
IForest,COX2,graph,0.6018,512
IForest,COX2,graph,0.7409,512
IForest,COX2,graph,0.5309,512
IForest,COX2,graph,0.7945,512
IForest,COX2,graph,0.6745,512
IForest,BZR,graph,0.6271,64
IForest,BZR,graph,0.4958,64
IForest,BZR,graph,0.4271,64
IForest,BZR,graph,0.5958,64
IForest,BZR,graph,0.4406,64
IForest,BZR,graph,0.75,64
IForest,BZR,graph,0.6437,64
IForest,BZR,graph,0.5083,64
IForest,BZR,graph,0.5729,64
IForest,BZR,graph,0.5667,64
IForest,BZR,graph,0.6146,128
IForest,BZR,graph,0.5562,128
IForest,BZR,graph,0.5479,128
IForest,BZR,graph,0.6167,128
IForest,BZR,graph,0.4427,128
IForest,BZR,graph,0.7604,128
IForest,BZR,graph,0.6896,128
IForest,BZR,graph,0.6438,128
IForest,BZR,graph,0.6083,128
IForest,BZR,graph,0.6,128
IForest,BZR,graph,0.6167,256
IForest,BZR,graph,0.6188,256
IForest,BZR,graph,0.4875,256
IForest,BZR,graph,0.625,256
IForest,BZR,graph,0.4198,256
IForest,BZR,graph,0.7854,256
IForest,BZR,graph,0.7125,256
IForest,BZR,graph,0.6479,256
IForest,BZR,graph,0.625,256
IForest,BZR,graph,0.6,256
IForest,BZR,graph,0.6167,512
IForest,BZR,graph,0.6188,512
IForest,BZR,graph,0.4875,512
IForest,BZR,graph,0.625,512
IForest,BZR,graph,0.4198,512
IForest,BZR,graph,0.7854,512
IForest,BZR,graph,0.7125,512
IForest,BZR,graph,0.6479,512
IForest,BZR,graph,0.625,512
IForest,BZR,graph,0.6,512
IForest,DHFR,graph,0.4337,64
IForest,DHFR,graph,0.4964,64
IForest,DHFR,graph,0.4728,64
IForest,DHFR,graph,0.4337,64
IForest,DHFR,graph,0.3628,64
IForest,DHFR,graph,0.6341,64
IForest,DHFR,graph,0.463,64
IForest,DHFR,graph,0.5319,64
IForest,DHFR,graph,0.5509,64
IForest,DHFR,graph,0.6716,64
IForest,DHFR,graph,0.4111,128
IForest,DHFR,graph,0.5242,128
IForest,DHFR,graph,0.4892,128
IForest,DHFR,graph,0.4296,128
IForest,DHFR,graph,0.3556,128
IForest,DHFR,graph,0.631,128
IForest,DHFR,graph,0.4959,128
IForest,DHFR,graph,0.5761,128
IForest,DHFR,graph,0.5807,128
IForest,DHFR,graph,0.6644,128
IForest,DHFR,graph,0.4132,256
IForest,DHFR,graph,0.5427,256
IForest,DHFR,graph,0.4707,256
IForest,DHFR,graph,0.4265,256
